NTP,Sec,Day,Month,Year
2272060800,10,01,01,1972
2287785600,11,01,07,1972
2303683200,12,01,01,1973
2335219200,13,01,01,1974
2366755200,14,01,01,1975
2398291200,15,01,01,1976
2429913600,16,01,01,1977
2461449600,17,01,01,1978
2492985600,18,01,01,1979
2524521600,19,01,01,1980
2571782400,20,01,07,1981
2603318400,21,01,07,1982
2634854400,22,01,07,1983
2698012800,23,01,07,1985
2776982400,24,01,01,1988
2840140800,25,01,01,1990
2871676800,26,01,01,1991
2918937600,27,01,07,1992
2950473600,28,01,07,1993
2982009600,29,01,07,1994
3029443200,30,01,01,1996
3076704000,31,01,07,1997
3124137600,32,01,01,1999
3345062400,33,01,01,2006
3439756800,34,01,01,2009
3550089600,35,01,07,2012
3644697600,36,01,07,2015
3692217600,37,01,01,2017